name,country_parent,total,dems,repubs,year
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$22,000","$14,000","$8,000",1998
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,$350,$350,$0,1998
Framatome (EDF Group),France/EDF Group,"$17,500","$11,000","$6,500",1998
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$194,500","$71,500","$123,000",1998
G4S Secure Solutions,UK/G4S plc,"$2,900","$2,900",$0,1998
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$32,500","$13,000","$19,500",1998
GE Appliances,China/Haier Group,"-$5,000","-$5,000",$0,1998
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$112,500","$36,000","$76,500",1998
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0,$0,$0,1998
GenesisCare USA,Australia/GenesisCare,"$10,000","$7,000","$3,000",1998
Gerdau Ameristeel Corp,Brazil/Gerdau Inc,"$5,500","$4,000","$1,500",1998
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$0,$0,$0,1998
GlaxoSmithKline,UK/GlaxoSmithKline,"$88,500","$37,000","$51,500",1998
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$6,000",$0,"$6,000",1998
Greyhound Lines,UK/FirstGroup PLC,"$5,500","$4,500","$1,000",1998
Hannover Life Reassurance Co,Germany/Hannover Re,"$7,500","$5,000","$2,500",1998
Hatch LTK (Hatch Ltd),Canada/Hatch Ltd,"$5,800","$5,800",$0,1998
Headwaters Inc,Australia/Boral Ltd,"$8,000","$1,000","$7,000",1998
Heineken USA,Netherlands/L'Arche Green NV,"$14,000","$10,000","$4,000",1998
Herbalife Nutrition,UK/Herbalife Ltd,"$43,000","$23,500","$19,500",1998
Holcim US (LafargeHolcim),Switzerland/LaFargeHolcim,"$18,000","$14,500","$3,500",1998
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$66,000","$39,500","$26,500",1998
HSBC North America (HSBC Holdings),UK/HSBC Holdings,$0,$0,$0,1998
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$14,500","$7,000","$7,500",1998
IBI Group Engineering Services,Canada/IBI Group,$150,$0,$150,1998
IDEMIA Identity & Security (IDEMIA),France/IDEMIA,"$16,000",$0,"$16,000",1998
IGT Global Solutions,Italy/B&D Holding Di Marco Drago e C Sapa,"$15,400","$15,400",$0,1998
Infineon Technologies,Germany/Infineon Technologies AG,"$13,500","$9,500","$4,000",1998
Intelsat Holdings (Serafina SA),Luxembourg/Serafina SA,"$5,000","$2,500","$2,500",1998
Intergraph Corp,Sweden/Hexagon AB,"$2,900",$0,"$2,900",1998
Ipsen Biopharmaceuticals,France/Ipsen SA,$0,$0,$0,1998
ITG Brands (Imperial Brands),UK/Imperial Brands,"$5,500","$1,000","$4,500",1998
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$54,000","$23,500","$30,500",1998
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$56,500","$35,500","$21,000",1998
JBS USA,Brazil/JBS SA,"$2,500","$1,000","$1,500",1998
John Hancock Life Insurance,Canada/Manulife Financial,"$51,500","$34,500","$17,000",1998
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$108,000","$61,000","$47,000",1998
Komatsu Mining,Japan/Komatsu Ltd,"$20,599","$9,500","$11,099",1998
Lanxess Corp (Lanxess AG),Germany/Lanxess AG,$0,$0,$0,1998
Lehigh Hanson,Germany/HeidelbergCement AG,"$5,000","$2,500","$2,500",1998
Leonardo DRS,Italy/Leonardo SpA,"$102,500","$47,500","$55,000",1998
Lincare Holdings (Linde plc),UK/Linde plc,"$9,500","$1,000","$8,500",1998
Linde plc (Linde plc),UK/Linde Plc,"$5,500","$5,500",$0,1998
Livanova USA,UK/Livanova Plc,"$2,000","$1,000","$1,000",1998
Louis Dreyfus Co,Netherlands/Louis Dreyfus Group,"$1,000",$0,"$1,000",1998
LSEG US,UK/London Stock Exchange Group,"$2,000","$2,000",$0,1998
Lundbeck Inc,Denmark/H Lundbeck A/S,"$68,400","$40,900","$27,500",1998
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$39,000","$20,500","$18,500",1998
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$32,000","$19,000","$13,000",1998
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"-$1,500","$2,500","-$4,000",1998
Maxar Technologies (Maxar Technologies),Canada/Maxar Technologies,"$49,000","$28,000","$21,000",1998
MBDA Inc,UK/MBDA,$0,$0,$0,1998
Medtronic Inc,Ireland/Medtronic Plc,"$69,500","$45,500","$24,000",1998
Messer North America,Germany/Messer Group,"$2,500",$0,"$2,500",1998
Mitsubishi Power,Japan/Mitsubishi Power,$0,$0,$0,1998
Molson Coors Beverage Co (Molson Coors Brewing),Canada/Molson Coors Brewing,"$43,000","$19,500","$23,500",1998
Munich American Reassurance,Germany/Munich Re Group,"$7,500","$5,000","$2,500",1998
Nammo Inc (Nammo AS),Norway/Nammo AS,"$4,000","$1,000","$3,000",1998
National Grid USA (National Grid plc),UK/National Grid plc,"$30,000","$26,500","$3,500",1998
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,$0,$0,$0,1998
Nomura Holding America,Japan/Nomura Holdings,"$26,000","$9,500","$16,500",1998
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,$0,$0,$0,1998
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$121,500","$72,000","$49,500",1998
Novo Nordisk,Denmark/Novo Nordisk A/S,"$146,000","$73,000","$73,000",1998
Novocure Inc,UK/Novocure,"$32,000","$18,500","$13,500",1998
Nutrien Ag Solutions,Canada/Nutrien Ltd,"$16,500","$10,500","$6,000",1998
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$53,500","$31,500","$22,000",1998
Pernod Ricard USA,France/Pernod Ricard SA,"$5,000","$5,000",$0,1998
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$42,000","$23,000","$19,000",1998
Philips Electronics North America (Philips),Netherlands/Philips,"$54,750","$27,250","$27,500",1998
Prime Policy Group (WPP Group),UK/WPP Group,"$24,000","$13,000","$11,000",1998
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$59,500","$26,000","$33,500",1998
Purpose Financial (Grupo Salinas),Mexico/Grupo Salinas,"$21,000","$7,500","$13,500",1998
