GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,A7D001,A7D002,A7D003,A7D004,A7D005
"G36006100038","1910","New York","36","New York","061",,"0038",,"Tract    0038     in New York City",1134,7773,16842,7,18
"G36006100039","1910","New York","36","New York","061",,"0039",,"Tract    0039     in New York City",826,1656,1106,5,2
"G36006100040","1910","New York","36","New York","061",,"0040",,"Tract    0040     in New York City",822,5588,12375,22,28
"G36006100041","1910","New York","36","New York","061",,"0041",,"Tract    0041     in New York City",1961,2119,2406,194,11
"G36006100042","1910","New York","36","New York","061",,"0042",,"Tract    0042     in New York City",264,454,763,3,13
"G36006100043","1910","New York","36","New York","061",,"0043",,"Tract    0043     in New York City",3983,5849,4524,136,6
"G36006100044","1910","New York","36","New York","061",,"0044",,"Tract    0044     in New York City",1424,1790,2288,1,0
"G36006100045","1910","New York","36","New York","061",,"0045",,"Tract    0045     in New York City",1508,2714,2217,83,14
"G36006100046","1910","New York","36","New York","061",,"0046",,"Tract    0046     in New York City",1804,6249,8919,4,15
"G36006100047","1910","New York","36","New York","061",,"0047",,"Tract    0047     in New York City",3209,3552,2697,43,12
"G36006100048","1910","New York","36","New York","061",,"0048",,"Tract    0048     in New York City",1519,2762,4120,36,4
"G36006100049","1910","New York","36","New York","061",,"0049",,"Tract    0049     in New York City",1751,2747,2099,3,5
"G36006100050","1910","New York","36","New York","061",,"0050",,"Tract    0050     in New York City",1221,742,1247,91,24
"G36006100051","1910","New York","36","New York","061",,"0051",,"Tract    0051     in New York City",1932,2943,3537,349,12
"G36006100052","1910","New York","36","New York","061",,"0052",,"Tract    0052     in New York City",1650,967,1719,124,27
"G36006100053","1910","New York","36","New York","061",,"0053",,"Tract    0053     in New York City",2336,4061,3190,287,6
"G36006100054","1910","New York","36","New York","061",,"0054",,"Tract    0054     in New York City",1348,2377,2592,14,15
"G36006100055","1910","New York","36","New York","061",,"0055",,"Tract    0055     in New York City",713,1345,1854,0,3
"G36006100056","1910","New York","36","New York","061",,"0056",,"Tract    0056     in New York City",2046,3918,4963,24,12
"G36006100057","1910","New York","36","New York","061",,"0057",,"Tract    0057     in New York City",2014,2918,3275,399,26
"G36006100058","1910","New York","36","New York","061",,"0058",,"Tract    0058     in New York City",2157,6447,8340,7,20
"G36006100059","1910","New York","36","New York","061",,"0059",,"Tract    0059     in New York City",2719,3144,2796,129,17
"G36006100060","1910","New York","36","New York","061",,"0060",,"Tract    0060     in New York City",1279,1266,1539,44,9
"G36006100061","1910","New York","36","New York","061",,"0061",,"Tract    0061     in New York City",1406,1501,2529,243,20
"G36006100062","1910","New York","36","New York","061",,"0062",,"Tract    0062     in New York City",2279,5630,6479,8,29
"G36006100063","1910","New York","36","New York","061",,"0063",,"Tract    0063     in New York City",2787,3856,3527,38,14
"G36006100064","1910","New York","36","New York","061",,"0064",,"Tract    0064     in New York City",1431,1857,2484,52,10
"G36006100065","1910","New York","36","New York","061",,"0065",,"Tract    0065     in New York City",544,2160,4754,1311,21
"G36006100066","1910","New York","36","New York","061",,"0066",,"Tract    0066     in New York City",2009,893,1812,127,16
"G36006100067","1910","New York","36","New York","061",,"0067",,"Tract    0067     in New York City",2312,3343,3231,73,3
"G36006100068","1910","New York","36","New York","061",,"0068",,"Tract    0068     in New York City",1803,4946,4995,7,8
"G36006100069","1910","New York","36","New York","061",,"0069",,"Tract    0069     in New York City",918,1868,1486,0,2
"G36006100070","1910","New York","36","New York","061",,"0070",,"Tract    0070     in New York City",1283,1040,2033,36,10
"G36006100071","1910","New York","36","New York","061",,"0071",,"Tract    0071     in New York City",442,952,1557,628,8
"G36006100072","1910","New York","36","New York","061",,"0072",,"Tract    0072     in New York City",1501,659,2102,102,6
"G36006100073","1910","New York","36","New York","061",,"0073",,"Tract    0073     in New York City",1444,2876,2192,8,13
"G36006100074","1910","New York","36","New York","061",,"0074",,"Tract    0074     in New York City",802,2282,2182,11,2
"G36006100075","1910","New York","36","New York","061",,"0075",,"Tract    0075     in New York City",922,2017,1913,0,0
"G36006100076","1910","New York","36","New York","061",,"0076",,"Tract    0076     in New York City",1708,5632,7153,40,24
"G36006100077","1910","New York","36","New York","061",,"0077",,"Tract    0077     in New York City",1633,1589,2909,545,16
"G36006100078","1910","New York","36","New York","061",,"0078",,"Tract    0078     in New York City",1541,6146,7389,24,17
"G36006100079","1910","New York","36","New York","061",,"0079",,"Tract    0079     in New York City",2709,5502,4765,2695,24
"G36006100080","1910","New York","36","New York","061",,"0080",,"Tract    0080     in New York City",844,1672,1785,156,1
"G36006100081","1910","New York","36","New York","061",,"0081",,"Tract    0081     in New York City",862,1024,1358,762,30
"G36006100082","1910","New York","36","New York","061",,"0082",,"Tract    0082     in New York City",1854,855,2051,79,7
"G36006100083","1910","New York","36","New York","061",,"0083",,"Tract    0083     in New York City",2102,5492,6677,2109,10
"G36006100084","1910","New York","36","New York","061",,"0084",,"Tract    0084     in New York City",1709,5445,5782,92,16
"G36006100085","1910","New York","36","New York","061",,"0085",,"Tract    0085     in New York City",1299,2007,1844,29,2
"G36006100086","1910","New York","36","New York","061",,"0086",,"Tract    0086     in New York City",1310,2890,3402,23,14
"G36006100087","1910","New York","36","New York","061",,"0087",,"Tract    0087     in New York City",1718,1124,1549,65,16
"G36006100088","1910","New York","36","New York","061",,"0088",,"Tract    0088     in New York City",2545,1060,3683,84,17
"G36006100089","1910","New York","36","New York","061",,"0089",,"Tract    0089     in New York City",3131,4649,4769,278,9
"G36006100090","1910","New York","36","New York","061",,"0090",,"Tract    0090     in New York City",1173,3769,3826,8,3
"G36006100091","1910","New York","36","New York","061",,"0091",,"Tract    0091     in New York City",1713,3538,2938,206,10
"G36006100092","1910","New York","36","New York","061",,"0092",,"Tract    0092     in New York City",1559,5898,6945,130,24
"G36006100093","1910","New York","36","New York","061",,"0093",,"Tract    0093     in New York City",1194,1367,1479,657,6
"G36006100094","1910","New York","36","New York","061",,"0094",,"Tract    0094     in New York City",993,4223,5535,16,10
"G36006100095","1910","New York","36","New York","061",,"0095",,"Tract    0095     in New York City",2970,6728,6003,70,7
"G36006100096","1910","New York","36","New York","061",,"0096",,"Tract    0096     in New York City",1085,1323,1979,19,37
"G36006100097","1910","New York","36","New York","061",,"0097",,"Tract    0097     in New York City",2483,5095,3544,230,2
"G36006100098","1910","New York","36","New York","061",,"0098",,"Tract    0098     in New York City",2142,850,2460,112,21
"G36006100099","1910","New York","36","New York","061",,"0099",,"Tract    0099     in New York City",799,1218,1481,999,12
"G36006100100","1910","New York","36","New York","061",,"0100",,"Tract    0100     in New York City",687,2467,3460,0,1
"G36006100101","1910","New York","36","New York","061",,"0101",,"Tract    0101     in New York City",2166,5185,4678,1767,10
"G36006100102","1910","New York","36","New York","061",,"0102",,"Tract    0102     in New York City",1348,4365,5198,3,7
"G36006100103","1910","New York","36","New York","061",,"0103",,"Tract    0103     in New York City",1774,3657,2291,3,2
"G36006100104","1910","New York","36","New York","061",,"0104",,"Tract    0104     in New York City",3301,1571,1796,114,8
"G36006100105","1910","New York","36","New York","061",,"0105",,"Tract    0105     in New York City",2127,1304,2049,134,15
"G36006100106","1910","New York","36","New York","061",,"0106",,"Tract    0106     in New York City",1067,537,1869,38,10
"G36006100107","1910","New York","36","New York","061",,"0107",,"Tract    0107     in New York City",3060,4569,3926,368,16
"G36006100108","1910","New York","36","New York","061",,"0108",,"Tract    0108     in New York City",751,7244,9166,0,3
"G36006100109","1910","New York","36","New York","061",,"0109",,"Tract    0109     in New York City",1131,1891,1281,0,2
"G36006100110","1910","New York","36","New York","061",,"0110",,"Tract    0110     in New York City",1569,8371,8835,406,14
"G36006100112","1910","New York","36","New York","061",,"0112",,"Tract    0112     in New York City",1400,2593,3106,91,4
"G36006100113","1910","New York","36","New York","061",,"0113",,"Tract    0113     in New York City",1422,2514,2229,1353,15
"G36006100114","1910","New York","36","New York","061",,"0114",,"Tract    0114     in New York City",1091,647,1689,34,5
"G36006100115","1910","New York","36","New York","061",,"0115",,"Tract    0115     in New York City",482,1749,1711,4083,12
"G36006100116","1910","New York","36","New York","061",,"0116",,"Tract    0116     in New York City",1168,5456,6104,3,2
"G36006100117","1910","New York","36","New York","061",,"0117",,"Tract    0117     in New York City",2596,2998,2940,69,24
"G36006100118","1910","New York","36","New York","061",,"0118",,"Tract    0118     in New York City",1433,7342,8135,200,10
"G36006100119","1910","New York","36","New York","061",,"0119",,"Tract    0119     in New York City",391,693,511,3208,11
"G36006100120","1910","New York","36","New York","061",,"0120",,"Tract    0120     in New York City",2297,8840,7912,2,9
"G36006100121","1910","New York","36","New York","061",,"0121",,"Tract    0121     in New York City",2070,1805,2125,293,12
"G36006100122","1910","New York","36","New York","061",,"0122",,"Tract    0122     in New York City",1903,7400,7874,56,8
"G36006100123","1910","New York","36","New York","061",,"0123",,"Tract    0123     in New York City",1998,4677,4546,451,16
"G36006100124","1910","New York","36","New York","061",,"0124",,"Tract    0124     in New York City",1671,3613,3737,57,2
"G36006100125","1910","New York","36","New York","061",,"0125",,"Tract    0125     in New York City",2313,1334,2130,168,19
"G36006100126","1910","New York","36","New York","061",,"0126",,"Tract    0126     in New York City",1276,1097,1840,36,5
"G36006100127","1910","New York","36","New York","061",,"0127",,"Tract    0127     in New York City",1763,976,1299,131,15
"G36006100128","1910","New York","36","New York","061",,"0128",,"Tract    0128     in New York City",2479,7710,6070,2,6
"G36006100129","1910","New York","36","New York","061",,"0129",,"Tract    0129     in New York City",1932,1545,1940,137,14
"G36006100130","1910","New York","36","New York","061",,"0130",,"Tract    0130     in New York City",1886,6942,6546,483,8
"G36006100131","1910","New York","36","New York","061",,"0131",,"Tract    0131     in New York City",1434,757,1186,79,10
"G36006100132","1910","New York","36","New York","061",,"0132",,"Tract    0132     in New York City",1772,5145,4646,121,14
"G36006100133","1910","New York","36","New York","061",,"0133",,"Tract    0133     in New York City",2105,1386,1275,144,4
"G36006100134","1910","New York","36","New York","061",,"0134",,"Tract    0134     in New York City",1362,2701,2565,61,4
"G36006100135","1910","New York","36","New York","061",,"0135",,"Tract    0135     in New York City",2112,1376,1617,153,9
"G36006100136","1910","New York","36","New York","061",,"0136",,"Tract    0136     in New York City",723,1772,1184,1,0
"G36006100137","1910","New York","36","New York","061",,"0137",,"Tract    0137     in New York City",2837,2759,2933,134,9
"G36006100138","1910","New York","36","New York","061",,"0138",,"Tract    0138     in New York City",1605,6314,5926,11,5
"G36006100139","1910","New York","36","New York","061",,"0139",,"Tract    0139     in New York City",2704,1964,2035,231,23
"G36006100140","1910","New York","36","New York","061",,"0140",,"Tract    0140     in New York City",1119,6909,9319,212,8
"G36006100141","1910","New York","36","New York","061",,"0141",,"Tract    0141     in New York City",1957,2630,2732,87,17
"G36006100142","1910","New York","36","New York","061",,"0142",,"Tract    0142     in New York City",1747,5289,5370,373,3
"G36006100143","1910","New York","36","New York","061",,"0143",,"Tract    0143     in New York City",1278,1127,1394,90,5
"G36006100144","1910","New York","36","New York","061",,"0144",,"Tract    0144     in New York City",1012,3254,3575,35,2
"G36006100145","1910","New York","36","New York","061",,"0145",,"Tract    0145     in New York City",2982,2833,2686,132,8
"G36006100146","1910","New York","36","New York","061",,"0146",,"Tract    0146     in New York City",88,1679,2965,1,0
"G36006100147","1910","New York","36","New York","061",,"0147",,"Tract    0147     in New York City",1659,1401,1316,91,6
"G36006100148","1910","New York","36","New York","061",,"0148",,"Tract    0148     in New York City",912,9235,14376,738,13
"G36006100149","1910","New York","36","New York","061",,"0149",,"Tract    0149     in New York City",2992,4105,3454,80,10
"G36006100150","1910","New York","36","New York","061",,"0150",,"Tract    0150     in New York City",1047,5992,7674,764,2
"G36006100151","1910","New York","36","New York","061",,"0151",,"Tract    0151     in New York City",2031,1560,1322,133,8
"G36006100152","1910","New York","36","New York","061",,"0152",,"Tract    0152     in New York City",687,6871,10428,316,10
"G36006100153","1910","New York","36","New York","061",,"0153",,"Tract    0153     in New York City",3377,5902,5158,2435,22
"G36006100154","1910","New York","36","New York","061",,"0154",,"Tract    0154     in New York City",524,9212,17522,137,11
"G36006100155","1910","New York","36","New York","061",,"0155",,"Tract    0155     in New York City",1664,1668,1569,100,8
"G36006100156","1910","New York","36","New York","061",,"0156",,"Tract    0156     in New York City",1524,6679,7135,4,7
"G36006100157","1910","New York","36","New York","061",,"0157",,"Tract    0157     in New York City",4143,4526,3840,92,10
"G36006100158","1910","New York","36","New York","061",,"0158",,"Tract    0158     in New York City",839,8489,11319,73,4
"G36006100159","1910","New York","36","New York","061",,"0159",,"Tract    0159     in New York City",2164,1620,1453,145,9
"G36006100160","1910","New York","36","New York","061",,"0160",,"Tract    0160     in New York City",4,3,4,0,0
"G36006100161","1910","New York","36","New York","061",,"0161",,"Tract    0161     in New York City",3109,3547,3337,72,15
"G36006100162","1910","New York","36","New York","061",,"0162",,"Tract    0162     in New York City",491,5999,8386,0,4
"G36006100163","1910","New York","36","New York","061",,"0163",,"Tract    0163     in New York City",2319,1626,1421,146,18
"G36006100164","1910","New York","36","New York","061",,"0164",,"Tract    0164     in New York City",593,8713,13019,8,7
"G36006100165","1910","New York","36","New York","061",,"0165",,"Tract    0165     in New York City",1132,1156,1031,16,8
"G36006100166","1910","New York","36","New York","061",,"0166",,"Tract    0166     in New York City",1496,6028,7346,29,12
"G36006100167","1910","New York","36","New York","061",,"0167",,"Tract    0167     in New York City",3341,1741,1714,150,19
"G36006100168","1910","New York","36","New York","061",,"0168",,"Tract    0168     in New York City",1211,9874,12979,125,15
"G36006100169","1910","New York","36","New York","061",,"0169",,"Tract    0169     in New York City",2948,2768,2254,89,20
"G36006100170","1910","New York","36","New York","061",,"0170",,"Tract    0170     in New York City",437,3437,3479,82,0
"G36006100171","1910","New York","36","New York","061",,"0171",,"Tract    0171     in New York City",1846,1023,884,70,11
"G36006100172","1910","New York","36","New York","061",,"0172",,"Tract    0172     in New York City",963,1587,4174,257,9
"G36006100173","1910","New York","36","New York","061",,"0173",,"Tract    0173     in New York City",2417,2678,2083,673,4
"G36006100174","1910","New York","36","New York","061",,"0174",,"Tract    0174     in New York City",1187,7836,10233,25,6
"G36006100175","1910","New York","36","New York","061",,"0175",,"Tract    0175     in New York City",1881,2800,2359,118,31
"G36006100176","1910","New York","36","New York","061",,"0176",,"Tract    0176     in New York City",968,6209,6574,111,1
"G36006100177","1910","New York","36","New York","061",,"0177",,"Tract    0177     in New York City",3171,3283,2910,459,13
"G36006100178","1910","New York","36","New York","061",,"0178",,"Tract    0178     in New York City",586,1361,3123,50,5
"G36006100179","1910","New York","36","New York","061",,"0179",,"Tract    0179     in New York City",1506,2473,1676,444,6
"G36006100180","1910","New York","36","New York","061",,"0180",,"Tract    0180     in New York City",1120,3142,3339,115,0
"G36006100181","1910","New York","36","New York","061",,"0181",,"Tract    0181     in New York City",1075,1597,1216,8,7
"G36006100182","1910","New York","36","New York","061",,"0182",,"Tract    0182     in New York City",2048,6023,6893,83,14
"G36006100183","1910","New York","36","New York","061",,"0183",,"Tract    0183     in New York City",1361,2341,1707,16,2
"G36006100184","1910","New York","36","New York","061",,"0184",,"Tract    0184     in New York City",1863,3526,3056,10,3
"G36006100185","1910","New York","36","New York","061",,"0185",,"Tract    0185     in New York City",1439,2795,2406,223,1
"G36006100186","1910","New York","36","New York","061",,"0186",,"Tract    0186     in New York City",1135,3162,2773,19,1
"G36006100187","1910","New York","36","New York","061",,"0187",,"Tract    0187     in New York City",1516,1814,1401,7,1
"G36006100188","1910","New York","36","New York","061",,"0188",,"Tract    0188     in New York City",1133,1509,1326,96,5
"G36006100189","1910","New York","36","New York","061",,"0189",,"Tract    0189     in New York City",3147,3104,2252,62,9
"G36006100190","1910","New York","36","New York","061",,"0190",,"Tract    0190     in New York City",1193,2686,2355,790,7
"G36006100191","1910","New York","36","New York","061",,"0191",,"Tract    0191     in New York City",2545,2105,1873,65,12
"G36006100192","1910","New York","36","New York","061",,"0192",,"Tract    0192     in New York City",1192,1992,1820,6,2
"G36006100193","1910","New York","36","New York","061",,"0193",,"Tract    0193     in New York City",2082,2603,1784,32,3
"G36006100194","1910","New York","36","New York","061",,"0194",,"Tract    0194     in New York City",2010,3236,2360,1378,35
"G36006100195","1910","New York","36","New York","061",,"0195",,"Tract    0195     in New York City",2829,2644,1870,414,6
"G36006100196","1910","New York","36","New York","061",,"0196",,"Tract    0196     in New York City",2680,2948,2083,1457,14
"G36006100197","1910","New York","36","New York","061",,"0197",,"Tract    0197     in New York City",2732,3645,2559,588,4
"G36006100198","1910","New York","36","New York","061",,"0198",,"Tract    0198     in New York City",394,962,802,959,4
"G36006100199","1910","New York","36","New York","061",,"0199",,"Tract    0199     in New York City",2233,2144,1546,44,4
"G36006100200","1910","New York","36","New York","061",,"0200",,"Tract    0200     in New York City",1055,3023,3199,7451,16
"G36006100201","1910","New York","36","New York","061",,"0201",,"Tract    0201     in New York City",2624,2601,2087,67,6
"G36006100202","1910","New York","36","New York","061",,"0202",,"Tract    0202     in New York City",368,714,577,97,0
"G36006100203","1910","New York","36","New York","061",,"0203",,"Tract    0203     in New York City",1766,1722,1064,14,6
"G36006100204","1910","New York","36","New York","061",,"0204",,"Tract    0204     in New York City",2578,5275,4751,85,16
"G36006100205","1910","New York","36","New York","061",,"0205",,"Tract    0205     in New York City",1685,1611,1054,57,8
"G36006100206","1910","New York","36","New York","061",,"0206",,"Tract    0206     in New York City",2268,5209,4472,149,4
"G36006100207","1910","New York","36","New York","061",,"0207",,"Tract    0207     in New York City",4034,4488,2991,324,34
"G36006100208","1910","New York","36","New York","061",,"0208",,"Tract    0208     in New York City",2431,4177,3262,75,5
"G36006100209","1910","New York","36","New York","061",,"0209",,"Tract    0209     in New York City",6464,6418,4296,155,23
"G36006100210","1910","New York","36","New York","061",,"0210",,"Tract    0210     in New York City",1774,2008,1683,582,6
"G36006100211","1910","New York","36","New York","061",,"0211",,"Tract    0211     in New York City",2412,2417,1982,19,12
"G36006100212","1910","New York","36","New York","061",,"0212",,"Tract    0212     in New York City",3078,3054,2129,100,13
"G36006100213","1910","New York","36","New York","061",,"0213",,"Tract    0213     in New York City",878,892,632,19,0
"G36006100214","1910","New York","36","New York","061",,"0214",,"Tract    0214     in New York City",1962,2640,1747,3667,12
"G36006100216","1910","New York","36","New York","061",,"0216",,"Tract    0216     in New York City",2056,3516,2689,1856,12
"G36006100218","1910","New York","36","New York","061",,"0218",,"Tract    0218     in New York City",2798,4793,3215,30,1
"G36006100220","1910","New York","36","New York","061",,"0220",,"Tract    0220     in New York City",3394,6003,5140,257,11
"G36006100222","1910","New York","36","New York","061",,"0222",,"Tract    0222     in New York City",2489,3638,3032,67,2
"G36006100224","1910","New York","36","New York","061",,"0224",,"Tract    0224     in New York City",789,1113,531,72,0
"G3600610B0001","1910","New York","36","New York","061","B","0001",,"Tract   B0001     in New York City",1486,3253,2303,4,3
"G3600610B0002","1910","New York","36","New York","061","B","0002",,"Tract   B0002     in New York City",6340,11726,8865,46,12
"G3600610B0003","1910","New York","36","New York","061","B","0003",,"Tract   B0003     in New York City",2701,5678,5074,4,6
"G3600610B0004","1910","New York","36","New York","061","B","0004",,"Tract   B0004     in New York City",1313,3011,2470,307,2
"G3600610B0005","1910","New York","36","New York","061","B","0005",,"Tract   B0005     in New York City",6618,13892,10786,79,23
"G3600610B0006","1910","New York","36","New York","061","B","0006",,"Tract   B0006     in New York City",796,1078,798,549,3
"G3600610B0007","1910","New York","36","New York","061","B","0007",,"Tract   B0007     in New York City",401,391,191,2,2
"G3600610B0008","1910","New York","36","New York","061","B","0008",,"Tract   B0008     in New York City",149,1175,2591,86,0
"G3600610B0009","1910","New York","36","New York","061","B","0009",,"Tract   B0009     in New York City",5657,16058,15574,628,17
"G3600610B0010","1910","New York","36","New York","061","B","0010",,"Tract   B0010     in New York City",4131,10681,8893,35,10
"G3600610B0011","1910","New York","36","New York","061","B","0011",,"Tract   B0011     in New York City",2802,6808,5569,25,0
"G3600610B0012","1910","New York","36","New York","061","B","0012",,"Tract   B0012     in New York City",389,612,398,0,0
"G3600610B0013","1910","New York","36","New York","061","B","0013",,"Tract   B0013     in New York City",10,37,17,0,0
"G3600610B0014","1910","New York","36","New York","061","B","0014",,"Tract   B0014     in New York City",4464,7179,5955,21,7
"G3600610B0015","1910","New York","36","New York","061","B","0015",,"Tract   B0015     in New York City",4170,8885,6280,24,14
"G3600610B0016","1910","New York","36","New York","061","B","0016",,"Tract   B0016     in New York City",3445,6215,4377,854,11
"G3600610B0017","1910","New York","36","New York","061","B","0017",,"Tract   B0017     in New York City",1955,3256,1848,161,1
"G3600610B0018","1910","New York","36","New York","061","B","0018",,"Tract   B0018     in New York City",1491,1437,721,15,4
"G3600610B0019","1910","New York","36","New York","061","B","0019",,"Tract   B0019     in New York City",1248,1936,1184,5,3
"G3600610B0020","1910","New York","36","New York","061","B","0020",,"Tract   B0020     in New York City",1519,1893,1169,37,1
"G3600610B0022","1910","New York","36","New York","061","B","0022",,"Tract   B0022     in New York City",1730,11650,14084,36,4
"G3600610B0023","1910","New York","36","New York","061","B","0023",,"Tract   B0023     in New York City",3024,6608,5497,17,8
"G3600610B0024","1910","New York","36","New York","061","B","0024",,"Tract   B0024     in New York City",0,0,0,0,0
"G3600610B0025","1910","New York","36","New York","061","B","0025",,"Tract   B0025     in New York City",3396,5886,4693,14,3
"G3600610B0026","1910","New York","36","New York","061","B","0026",,"Tract   B0026     in New York City",1164,2192,1465,9,1
"G3600610B0027","1910","New York","36","New York","061","B","0027",,"Tract   B0027     in New York City",985,1686,1045,39,2
"G3600610B0028","1910","New York","36","New York","061","B","0028",,"Tract   B0028     in New York City",1583,2429,1568,36,0
"G3600610B0029","1910","New York","36","New York","061","B","0029",,"Tract   B0029     in New York City",3212,5720,3986,36,8
"G3600610B0030","1910","New York","36","New York","061","B","0030",,"Tract   B0030     in New York City",2324,3250,1844,7,6
"G3600610B0031","1910","New York","36","New York","061","B","0031",,"Tract   B0031     in New York City",1067,1567,857,24,6
"G3600610B0032","1910","New York","36","New York","061","B","0032",,"Tract   B0032     in New York City",1187,1184,785,35,1
"G3600610B0033","1910","New York","36","New York","061","B","0033",,"Tract   B0033     in New York City",1639,2638,1737,76,5
"G3600610B0034","1910","New York","36","New York","061","B","0034",,"Tract   B0034     in New York City",813,3625,4764,56,3
"G3600610B0035","1910","New York","36","New York","061","B","0035",,"Tract   B0035     in New York City",274,434,348,11,0
"G3600610B0036","1910","New York","36","New York","061","B","0036",,"Tract   B0036     in New York City",1937,2317,1278,22,4
"G3600610B0038","1910","New York","36","New York","061","B","0038",,"Tract   B0038     in New York City",735,1825,2151,21,9
"G3600610B0039","1910","New York","36","New York","061","B","0039",,"Tract   B0039     in New York City",631,967,531,3,0
"G3600610B0040","1910","New York","36","New York","061","B","0040",,"Tract   B0040     in New York City",642,823,462,2,0
"G3600610B0041","1910","New York","36","New York","061","B","0041",,"Tract   B0041     in New York City",1523,1394,962,92,1
"G3600610B0042","1910","New York","36","New York","061","B","0042",,"Tract   B0042     in New York City",517,999,833,12,2
"G3600610B0043","1910","New York","36","New York","061","B","0043",,"Tract   B0043     in New York City",519,712,573,30,3
"G3600610B0044","1910","New York","36","New York","061","B","0044",,"Tract   B0044     in New York City",1174,2076,1339,50,1
"G3600610B0045","1910","New York","36","New York","061","B","0045",,"Tract   B0045     in New York City",1772,3977,3029,360,4
"G3600610B0046","1910","New York","36","New York","061","B","0046",,"Tract   B0046     in New York City",186,219,133,2,0
"G3600610B0047","1910","New York","36","New York","061","B","0047",,"Tract   B0047     in New York City",569,853,604,3,3
"G3600610B0048","1910","New York","36","New York","061","B","0048",,"Tract   B0048     in New York City",644,591,461,11,0
"G3600610B0049","1910","New York","36","New York","061","B","0049",,"Tract   B0049     in New York City",2011,4426,3159,69,5
"G3600610B0050","1910","New York","36","New York","061","B","0050",,"Tract   B0050     in New York City",2698,5043,2530,79,8
"G3600610B0051","1910","New York","36","New York","061","B","0051",,"Tract   B0051     in New York City",723,936,516,22,0
"G3600610B0052","1910","New York","36","New York","061","B","0052",,"Tract   B0052     in New York City",1082,1825,954,0,1
"G3600610B0053","1910","New York","36","New York","061","B","0053",,"Tract   B0053     in New York City",654,1217,863,5,1
"G3600610B0054","1910","New York","36","New York","061","B","0054",,"Tract   B0054     in New York City",986,681,558,34,3
"G3600610B0055","1910","New York","36","New York","061","B","0055",,"Tract   B0055     in New York City",83,195,263,22,2
"G36008100001","1910","New York","36","Queens","081",,"0001",,"Tract    0001     in New York City",1645,2134,1241,18,3
"G36008100002","1910","New York","36","Queens","081",,"0002",,"Tract    0002     in New York City",1442,3004,2185,16,6
"G36008100003","1910","New York","36","Queens","081",,"0003",,"Tract    0003     in New York City",1255,2618,1876,68,3
"G36008100004","1910","New York","36","Queens","081",,"0004",,"Tract    0004     in New York City",948,2278,2084,74,1
"G36008100005","1910","New York","36","Queens","081",,"0005",,"Tract    0005     in New York City",826,1652,845,0,1
"G36008100006","1910","New York","36","Queens","081",,"0006",,"Tract    0006     in New York City",1385,3682,2095,1,5
"G36008100007","1910","New York","36","Queens","081",,"0007",,"Tract    0007     in New York City",915,1945,1148,1,2
"G36008100008","1910","New York","36","Queens","081",,"0008",,"Tract    0008     in New York City",1354,2282,1379,73,2
"G36008100009","1910","New York","36","Queens","081",,"0009",,"Tract    0009     in New York City",1022,1911,1378,41,5
"G36008100010","1910","New York","36","Queens","081",,"0010",,"Tract    0010     in New York City",864,1798,1373,11,1
"G36008100011","1910","New York","36","Queens","081",,"0011",,"Tract    0011     in New York City",448,1473,1163,0,9
"G36008100012","1910","New York","36","Queens","081",,"0012",,"Tract    0012     in New York City",425,1879,1809,18,6
"G36008100013","1910","New York","36","Queens","081",,"0013",,"Tract    0013     in New York City",610,1569,1447,10,1
"G36008100014","1910","New York","36","Queens","081",,"0014",,"Tract    0014     in New York City",944,2429,1748,25,0
"G36008100015","1910","New York","36","Queens","081",,"0015",,"Tract    0015     in New York City",2267,2774,1436,118,4
"G36008100016","1910","New York","36","Queens","081",,"0016",,"Tract    0016     in New York City",951,1650,1137,31,5
"G36008100017","1910","New York","36","Queens","081",,"0017",,"Tract    0017     in New York City",864,1571,1121,31,2
"G36008100018","1910","New York","36","Queens","081",,"0018",,"Tract    0018     in New York City",2106,3519,2032,79,8
"G36008100019","1910","New York","36","Queens","081",,"0019",,"Tract    0019     in New York City",874,2987,2710,157,7
"G36008100020","1910","New York","36","Queens","081",,"0020",,"Tract    0020     in New York City",341,541,440,23,0
"G36008100021","1910","New York","36","Queens","081",,"0021",,"Tract    0021     in New York City",916,1952,1142,9,0
"G36008100022","1910","New York","36","Queens","081",,"0022",,"Tract    0022     in New York City",853,1476,1134,20,2
"G36008100023","1910","New York","36","Queens","081",,"0023",,"Tract    0023     in New York City",594,1490,1523,0,0
"G36008100024","1910","New York","36","Queens","081",,"0024",,"Tract    0024     in New York City",376,713,372,0,0
"G36008100025","1910","New York","36","Queens","081",,"0025",,"Tract    0025     in New York City",470,1462,797,0,0
"G36008100026","1910","New York","36","Queens","081",,"0026",,"Tract    0026     in New York City",1343,3044,1561,4,0
"G36008100027","1910","New York","36","Queens","081",,"0027",,"Tract    0027     in New York City",945,2289,1280,0,0
"G36008100028","1910","New York","36","Queens","081",,"0028",,"Tract    0028     in New York City",1040,2715,1506,1,0
"G36008100029","1910","New York","36","Queens","081",,"0029",,"Tract    0029     in New York City",1250,2260,1282,1,0
"G36008100030","1910","New York","36","Queens","081",,"0030",,"Tract    0030     in New York City",522,741,408,0,0
"G36008100031","1910","New York","36","Queens","081",,"0031",,"Tract    0031     in New York City",1015,2087,993,2,0
"G36008100032","1910","New York","36","Queens","081",,"0032",,"Tract    0032     in New York City",939,1773,1025,1,0
